,tweets,time
0,"Wed Mar 24 00:54:43 2021 (1:30)
USD : 54,595.75
Wght: 208,291
Blk#: 676,008
Size: 1,269.5
Txs : 1,720
Pool: 31,710 (85.0 MB)
#bitcoin",2021-03-23 23:55:26
1,"Wed Mar 24 00:53:13 2021 (2:17)
USD : 54,709.91
Wght: 208,727
Blk#: 676,007
Size: 1,419.4
Txs : 1,876
Pool: 33,099 (85.9 MB)
#bitcoin",2021-03-23 23:53:56
2,"1 Bitcoin ( #BTC )
Dollar: 54,729.00$ 

1 Bitcoin Cash ( #BCH )
Dollar: 5,12.43$ 

1 Ethereum ( #ETH )
Dollar: 1,67… https://t.co/V7sxz3mHIC",2021-03-23 23:52:27
3,"Wed Mar 24 00:50:56 2021 (20:19)
USD : 54,629.92
Wght: 208,422
Blk#: 676,006
Size: 1,347.0
Txs : 2,876
Pool: 34,442 (86.6 MB)
#bitcoin",2021-03-23 23:51:25
4,RT @BtcSenti: Bitcoin Fear Index on google search statistics (higher = more market fear) #Bitcoin #BTC #dataviz #datavisualisation   19:00:…,2021-03-23 23:44:00
5,"RT @CryptoND1: THIS EVENING....

👉⏰ 21:00 / 9 PM (CET)

@NanuBerks on BITCOINLIVE!

👇👇👇👇👇
https://t.co/3IgyvdMyCb

😎 We talk: #Cryptoart, #…",2021-03-23 23:38:04
6,"Hitbtc - Volume changed on Bitcoin (BUSD/BTC)! Price: $54638.67 (+0.19%), Volume: +73.92%, Mentions Daily Change: -… https://t.co/72gqcaf88V",2021-03-23 23:37:55
7,The bull run for BitCoin will end September 29 2021. Don't be stupid and not take profit. When it starts going down… https://t.co/M7TJRodrwS,2021-03-23 23:35:18
8,"@tyler Indeed Tyler,these guys that keep writing this stuff are dumber than a post they don't understand bitcoin at… https://t.co/nVeYBvUVnV",2021-03-23 23:34:01
9,"Wed Mar 24 00:30:37 2021 (8:18)
USD : 54,712.19
Wght: 208,736
Blk#: 676,005
Size: 1,284.2
Txs : 2,318
Pool: 33,235 (79.6 MB)
#bitcoin",2021-03-23 23:31:24
10,"Price of Bitcoin

U$    54,677.31
€U    46,245.00
R$    304,875.13

24H % change: 0.54%
Week % change: -3.00%
Month… https://t.co/RdMouQboG5",2021-03-23 23:30:27
11,"Wed Mar 24 00:22:19 2021 (5:33)
USD : 54,722.87
Wght: 208,776
Blk#: 676,004
Size: 1,366.8
Txs : 2,806
Pool: 33,770 (80.0 MB)
#bitcoin",2021-03-23 23:22:53
12,"1: Bitcoin price is $54968.85 (0.53% 1h)
2: Ethereum price is $1682.49 (0.36% 1h)
3: Tether price is $1.00 (0.05% 1… https://t.co/5MUbqUOxzd",2021-03-23 23:19:32
13,"Wed Mar 24 00:16:46 2021 (23:21)
USD : 54,729.78
Wght: 208,803
Blk#: 676,003
Size: 1,290.6
Txs : 2,679
Pool: 35,341 (80.5 MB)
#bitcoin",2021-03-23 23:17:52
14,"The current price of Bitcoin is $54696.00.
The current price of BCash is $513.54, or 0.00938899 BTC.
The current pr… https://t.co/13iUXwaHeG",2021-03-23 23:15:24
15,"CAB Kiosk (Cynthia Abrafi Bitcoin) - Virtual
Investment Store
$1, $20, $50, $100, $200, $500, $1,000
Greater Toront… https://t.co/fvyqFVcasE",2021-03-23 23:15:03
16,"@XRPArmyNews1 @michael_saylor Regulations are good, we need them for stability. Heck, I bought xrp when it was $3.0… https://t.co/1YtE7oCXbh",2021-03-23 23:13:26
17,"Hourly Price Alert: BTC dropped by -0.22% to $54,565.00. LTC dropped by -1.01% to $185.00. ETH dropped by -1.29% to… https://t.co/abXxKvBJNx",2021-03-23 23:13:02
18,"$BTC: $1,334.34 (95.31%)
$ETH: $1,321.25 (94.38%)
$ADA: $1,519.47 (108.53%)
$BNB: $1,358.02 (97.00%)
$DOGE: $1,365.… https://t.co/09jiiIgyqN",2021-03-23 23:06:10
19,"RT @CryptoGulp: Top 5 Cryptocurrencies Prices

$BTC: $54,722.81 - Bitcoin ⬆️ +0.14%
$ETH: $1,675.07 - Ethereum 🔻 -0.41%
$USDT: $1.00 - Teth…",2021-03-23 23:03:55
20,"“Bitcoin, Trump, and Racism w/ Anthony Scaramucci” with @bigmarh, @jaygould, @RobertsNajah, @crypto_llc,… https://t.co/ELqVNXMowT",2021-03-23 23:03:51
21,on the 03/23/2021 at 11:02 1BTC was worth $54471.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-23 23:02:31
22,"🕗 Mar 23, 2021 7:00 PM
🇻🇪 𝗕𝘀/$: 1,847,086 -0.28%⬇️
Avg 24h: 1,815,201 VES/USD
₿: 100,516,137,699 -0.4%⬇️… https://t.co/GZq5miErbr",2021-03-23 23:02:04
23,"Price of Bitcoin

U$    54,442.53
€U    46,058.73
R$    303,702.43

24H % change: -0.18%
Week % change: -3.34%
Mont… https://t.co/LbJfstwkWI",2021-03-23 23:00:27
24,"Top 5 Cryptocurrencies Prices

$BTC: $54,722.81 - Bitcoin ⬆️ +0.14%
$ETH: $1,675.07 - Ethereum 🔻 -0.41%
$USDT: $1.0… https://t.co/iyml9E1VD3",2021-03-23 23:00:24
25,"The price of
Spaghetti alla Carbonara
is 20,211 Satoshis
or 0.00020211 BTC

BTC price: 54,375.00 USD
on Tuesday, 23… https://t.co/ESPpNA4WK8",2021-03-23 23:00:05
26,"Tue Mar 23 23:37:02 2021 (19:00)
USD : 54,776.49
Wght: 208,981
Blk#: 675,997
Size: 1,330.5
Txs : 3,191
Pool: 39,872 (81.8 MB)
#bitcoin",2021-03-23 22:37:48
27,"“Bitcoin, Trump, and Racism w/ Anthony Scaramucci” with @bigmarh, @jaygould, @RobertsNajah, @crypto_llc,… https://t.co/AQgGPjyvPH",2021-03-23 22:31:30
